COD_PARTIDO,NOM_PARTIDO,NOM_CANDIDATO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,90,98,TOTAL
1,PARTIDO LIBERAL COLOMBIANO,IRIS AZUCENA ROJAS CASTAÑEDA,34.0,10.0,12.0,54.0,23.0,21.0,53.0,133.0,34.0,95.0,85.0,25.0,27.0,28.0,20.0,30.0,8.0,38.0,80.0,0.0,9.0,0.0,819.0
1,PARTIDO LIBERAL COLOMBIANO,JORGE DURAN SILVA,350.0,120.0,145.0,1027.0,589.0,691.0,792.0,1944.0,345.0,778.0,956.0,476.0,422.0,284.0,142.0,757.0,336.0,602.0,1431.0,1.0,124.0,4.0,12316.0
1,PARTIDO LIBERAL COLOMBIANO,JORGE ELIECER PASTRAN PASTRAN,213.0,63.0,27.0,78.0,72.0,35.0,72.0,236.0,112.0,531.0,698.0,129.0,114.0,43.0,65.0,121.0,16.0,95.0,137.0,0.0,61.0,0.0,2918.0
1,PARTIDO LIBERAL COLOMBIANO,JORGE GIOVANNI CALDERON DURAN,146.0,52.0,40.0,148.0,82.0,309.0,182.0,357.0,128.0,314.0,324.0,80.0,54.0,39.0,56.0,110.0,17.0,144.0,201.0,23.0,74.0,0.0,2880.0
1,PARTIDO LIBERAL COLOMBIANO,JOSE ANTONIO FONSECA CAMELO,91.0,39.0,20.0,57.0,37.0,31.0,59.0,208.0,43.0,121.0,162.0,32.0,26.0,18.0,22.0,70.0,11.0,106.0,52.0,1.0,32.0,1.0,1239.0
1,PARTIDO LIBERAL COLOMBIANO,JOSE ORLANDO MORERA CRUZ,144.0,54.0,21.0,62.0,30.0,23.0,71.0,121.0,40.0,103.0,175.0,45.0,39.0,18.0,18.0,49.0,8.0,42.0,60.0,1.0,32.0,0.0,1156.0
1,PARTIDO LIBERAL COLOMBIANO,JOSE YAMID SANMIGUEL,112.0,49.0,26.0,69.0,79.0,45.0,86.0,208.0,63.0,182.0,2450.0,59.0,38.0,37.0,32.0,57.0,25.0,98.0,151.0,0.0,63.0,0.0,3929.0
1,PARTIDO LIBERAL COLOMBIANO,JOSEFINA DEL CARMEN VILLAMIL QUIROZ,122.0,37.0,30.0,169.0,72.0,51.0,163.0,282.0,80.0,256.0,321.0,57.0,54.0,31.0,57.0,95.0,12.0,131.0,183.0,1.0,55.0,0.0,2259.0
1,PARTIDO LIBERAL COLOMBIANO,JUAN CARLOS ALMONACID MARTINEZ,224.0,90.0,27.0,50.0,36.0,32.0,52.0,200.0,141.0,155.0,272.0,75.0,307.0,35.0,46.0,65.0,21.0,51.0,38.0,2.0,34.0,0.0,1953.0
1,PARTIDO LIBERAL COLOMBIANO,JUAN DE JESUS RINCON TORRES,40.0,32.0,15.0,43.0,33.0,32.0,36.0,72.0,37.0,80.0,77.0,28.0,25.0,18.0,39.0,28.0,9.0,102.0,44.0,1.0,13.0,0.0,804.0
